CCODE,ARDAID,ABBREV,CNAME,FIRSTYEAR,FIRSTMONTH,FIRSTDAY,LASTYEAR,LASTMONTH,LASTDAY,XCPOSNAME,XCFULLNAME,XCGIVENNAME,XCFAMNAME,XCRNAME,XCRID,XCR2ID,REMARKS
56,190,SLU,Saint Lucia,1982,5,3,1996,4,1,Prime Minister,John George Melvin Compton,John,Compton,Anglican,1510,1300,from 2011 (source no longer available)
56,190,SLU,Saint Lucia,1996,4,2,1997,5,23,Prime Minister,Vaughan Lewis,Vaughan,Lewis,,,,
56,190,SLU,Saint Lucia,1997,5,24,2006,12,10,Prime Minister,Kenny Davis Anthony,Kenny,Anthony,Anglican,1510,1300,from 2011 (source no longer available)
56,190,SLU,Saint Lucia,2006,12,11,2007,4,30,Prime Minister,John George Melvin Compton,John,Compton,Anglican,1510,1300,from 2011 (source no longer available)
56,190,SLU,Saint Lucia,2007,5,1,2011,11,29,Prime Minister,Stephenson Toby King,Stephenson,King,Roman Catholic,1222,1200,
56,190,SLU,Saint Lucia,2011,11,30,2016,6,6,Prime Minister,Kenny Davis Anthony,Kenny,Anthony,Anglican,1510,1300,from 2011 (source no longer available)
56,190,SLU,Saint Lucia,2016,6,7,,,,Prime Minister,Allen Michael Chastanet,Allen,Chastanet,Roman Catholic,1222,1200,from FB page
57,192,SVG,Saint Vincent and the Grenadines,1979,10,27,1984,7,29,Prime Minister,Robert Milton Cato,Milton,Cato,,,,
57,192,SVG,Saint Vincent and the Grenadines,1984,7,30,2000,10,26,Prime Minister,James Fitz-Allen Mitchell,James,Mitchell,,,,
57,192,SVG,Saint Vincent and the Grenadines,2000,10,27,2001,3,28,Prime Minister,Arnhim Ulric Eustace,Arnhim,Eustace,,,,
57,192,SVG,Saint Vincent and the Grenadines,2001,3,29,,,,Prime Minister,Ralph Everard Gonsalves,Ralph,Gonsalves,Roman Catholic,1222,1200,
58,10,AAB,Antigua and Barbuda,1981,11,1,1994,3,8,Prime Minister,Vere Cornwall Bird,Vere,Bird,Methodist,1460,1300,raised son as such
58,10,AAB,Antigua and Barbuda,1994,3,9,2004,3,23,Prime Minister,Lester Bryant Bird,Lester,Bird,Methodist,1460,1300,by upbringing
58,10,AAB,Antigua and Barbuda,2004,3,24,2014,6,12,Prime Minister,Winston Baldwin Spencer,Baldwin,Spencer,Adventist,1450,1300,"likely, given profile"
58,10,AAB,Antigua and Barbuda,2014,6,13,,,,Prime Minister,Gaston Alfonso Browne,Gaston,Browne,,,,
60,189,SKN,Saint Kitts and Nevis,1983,9,19,1995,7,5,Prime Minister,Kennedy Alphonse Simmonds,Kennedy,Simmonds,,,,
60,189,SKN,Saint Kitts and Nevis,1995,7,6,2015,2,17,Prime Minister,Denzil Llewellyn Douglas,Denzil,Douglas,,,,
60,189,SKN,Saint Kitts and Nevis,2015,2,18,,,,Prime Minister,Timothy Sylvester Harris,Timothy,Harris,,,,
70,149,MEX,Mexico,1940,12,1,1946,11,30,President,Manuel ï¿½vila Camacho,Manuel,ï¿½vila Camacho,Roman Catholic,1222,1200,from 2011 (source no longer available)
70,149,MEX,Mexico,1946,12,1,1952,11,30,President,Miguel Alemï¿½n Valdï¿½s,Miguel,Alemï¿½n,Roman Catholic,1222,1200,
70,149,MEX,Mexico,1952,12,1,1958,11,30,President,Adolfo Ruiz Cortines,Adolfo,Ruiz Cortines,Roman Catholic,1222,1200,
70,149,MEX,Mexico,1958,12,1,1964,11,30,President,Adolfo Lï¿½pez Mateos,Adolfo,Lï¿½pez Mateos,Roman Catholic,1222,1200,
70,149,MEX,Mexico,1964,12,1,1970,11,30,President,Gustavo Dï¿½az Ordaz Bolaï¿½os,Gustavo,Dï¿½az Ordaz,Roman Catholic,1222,1200,
70,149,MEX,Mexico,1970,12,1,1976,11,30,President,Luis Echeverrï¿½a ï¿½lvarez,Luis,Echeverrï¿½a,Roman Catholic,1222,1200,
70,149,MEX,Mexico,1976,12,1,1982,11,30,President,Josï¿½ Lï¿½pez Portillo y Pacheco,Josï¿½,Lï¿½pez Portillo,Roman Catholic,1222,1200,
70,149,MEX,Mexico,1982,12,1,1988,11,30,President,Miguel de la Madrid Hurtado,Miguel,de la Madrid,Roman Catholic,1222,1200,
