CCODE,ARDAID,ABBREV,CNAME,FIRSTYEAR,FIRSTMONTH,FIRSTDAY,LASTYEAR,LASTMONTH,LASTDAY,XCPOSNAME,XCFULLNAME,XCGIVENNAME,XCFAMNAME,XCRNAME,XCRID,XCR2ID,REMARKS
365,186,RUS,Russia,1982,11,10,1984,2,8,General Secretary of Communist Party,Yuri Vladimirovich Andropov,Yuri,Andropov,Atheist,9100,9100,
365,186,RUS,Russia,1984,2,9,1984,2,12,General Secretary of Communist Party,vacant,,,,,,
365,186,RUS,Russia,1984,2,13,1985,3,9,General Secretary of Communist Party,Konstantin Ustinovich Chernenko,Konstantin,Chernenko,Atheist,9100,9100,
365,186,RUS,Russia,1985,3,10,1985,3,10,General Secretary of Communist Party,vacant,,,,,,
365,186,RUS,Russia,1985,3,11,1991,8,22,General Secretary of Communist Party,Mikhail Sergeyevich Gorbachev,Mikhail,Gorbachev,Atheist,9100,9100,
365,186,RUS,Russia,1991,8,23,1991,12,25,President,Mikhail Sergeyevich Gorbachev,Mikhail,Gorbachev,Atheist,9100,9100,
365,186,RUS,Russia,1991,12,26,1993,9,21,President,Boris Nikolayevich Yeltsin,Boris,Yeltsin,Russian Orthodox,1620,1600,formerly Atheist but converted in 1991
365,186,RUS,Russia,1993,9,22,1993,10,3,Acting President,Alexander Vladimirovich Rutskoy,Alexander,Rutskoy,,,,
365,186,RUS,Russia,1993,10,4,1999,12,30,President,Boris Nikolayevich Yeltsin,Boris,Yeltsin,Russian Orthodox,1620,1600,formerly Atheist but converted in 1991
365,186,RUS,Russia,1999,12,31,2000,5,7,Acting President,Vladimir Vladimirovich Putin,Vladimir,Putin,Russian Orthodox,1620,1600,
365,186,RUS,Russia,2000,5,8,2008,5,6,President,Vladimir Vladimirovich Putin,Vladimir,Putin,Russian Orthodox,1620,1600,
365,186,RUS,Russia,2008,5,7,2012,5,6,President,Dmitry Anatolyevich Medvedev,Dmitry,Medvedev,Russian Orthodox,1620,1600,
365,186,RUS,Russia,2012,5,7,,,,President,Vladimir Vladimirovich Putin,Vladimir,Putin,Russian Orthodox,1620,1600,
366,77,EST,Estonia,1991,8,20,1992,1,28,Prime Minister,Edgar Savisaar,Edgar,Savisaar,,,,
366,77,EST,Estonia,1992,1,29,1992,10,20,Acting Prime Minister,Tiit Vï¿½hi,Tiit,Vï¿½hi,,,,
366,77,EST,Estonia,1992,10,21,1994,11,7,Prime Minister,Mart Laar,Mart,Laar,,,,
366,77,EST,Estonia,1994,11,8,1995,4,16,Prime Minister,Andres Tarand,Andres,Tarand,,,,
366,77,EST,Estonia,1995,4,17,1997,3,16,Prime Minister,Tiit Vï¿½hi,Tiit,Vï¿½hi,,,,
366,77,EST,Estonia,1997,3,17,1999,3,24,Prime Minister,Mart Siimann,Mart,Siimann,,,,
366,77,EST,Estonia,1999,3,25,2002,1,27,Prime Minister,Mart Laar,Mart,Laar,,,,
366,77,EST,Estonia,2002,1,28,2003,4,9,Prime Minister,Siim Kallas,Siim,Kallas,,,,
366,77,EST,Estonia,2003,4,10,2005,4,11,Prime Minister,Juhan Parts,Juhan,Parts,,,,
366,77,EST,Estonia,2005,4,12,2014,3,25,Prime Minister,Andrus Ansip,Andrus,Ansip,,,,
366,77,EST,Estonia,2014,3,26,2016,11,22,Prime Minister,Taavi Rï¿½ivas,Taavi,Rï¿½ivas,,,,
366,77,EST,Estonia,2016,11,23,,,,Prime Minister,Jï¿½ri Ratas,Jï¿½ri,Ratas,Protestant (NFI),1400,1300,"likely; affiliated with Baptist church & although denied being Baptist, does professor to being believer"
367,128,LAT,Latvia,1990,5,7,1993,8,2,Prime Minister,Ivars Godmanis,Ivars,Godmanis,,,,
367,128,LAT,Latvia,1993,8,3,1994,9,14,Prime Minister,Valdis Birkavs,Valdis,Birkavs,,,,Communist
367,128,LAT,Latvia,1994,9,15,1995,12,20,Prime Minister,M?ris Gailis,M?ris,Gailis,,,,
367,128,LAT,Latvia,1995,12,21,1997,8,6,Prime Minister,Andris ï¿½??le,Andris,ï¿½??le,,,,
367,128,LAT,Latvia,1997,8,7,1998,11,25,Prime Minister,Guntars Krasts,Guntars,Krasts,,,,
367,128,LAT,Latvia,1998,11,26,1999,7,15,Prime Minister,Vilis Kriï¿½topans,Vilis,Kriï¿½topans,,,,
367,128,LAT,Latvia,1999,7,16,2000,5,4,Prime Minister,Andris ï¿½??le,Andris,ï¿½??le,,,,
367,128,LAT,Latvia,2000,5,5,2002,11,6,Prime Minister,Andris B?rzi?ï¿½,Andris,B?rzi?ï¿½,,,,
367,128,LAT,Latvia,2002,11,7,2004,3,8,Prime Minister,Einars Repï¿½e,Einars,Repï¿½e,,,,
367,128,LAT,Latvia,2004,3,9,2004,12,1,Prime Minister,Indulis Emsis,Indulis,Emsis,,,,
367,128,LAT,Latvia,2004,12,2,2007,12,19,Prime Minister,Aigars Kalv?tis,Aigars,Kalv?tis,,,,
367,128,LAT,Latvia,2007,12,20,2009,3,11,Prime Minister,Ivars Godmanis,Ivars,Godmanis,,,,
367,128,LAT,Latvia,2009,3,12,2014,1,21,Prime Minister,Valdis Dombrovskis,Valdis,Dombrovskis,,,,
367,128,LAT,Latvia,2014,1,22,2016,2,10,Prime Minister,Laimdota Straujuma,Laimdota,Straujuma,,,,
367,128,LAT,Latvia,2016,2,11,2019,1,22,Prime Minister,M?ris Ku?inskis,M?ris,Ku?inskis,,,,
367,128,LAT,Latvia,2019,1,23,,,,Prime Minister,Arturs Kriï¿½j?nis Kari?ï¿½,Kriï¿½j?nis,Kari?ï¿½,Lutheran,1410,1300,
368,134,LIT,Lithuania,1990,3,11,1992,11,24,Chairman of the Supreme Council,Vytautas Landsbergis,Vytautas,Landsbergis,Lutheran,1410,1300,
368,134,LIT,Lithuania,1992,11,25,1993,2,24,Acting President,Algirdas Mykolas Brazauskas,Algirdas,Brazauskas,Roman Catholic,1222,1200,
368,134,LIT,Lithuania,1993,2,25,1998,2,25,President,Algirdas Mykolas Brazauskas,Algirdas,Brazauskas,Roman Catholic,1222,1200,
368,134,LIT,Lithuania,1998,2,26,2003,2,25,President,"Valdas Adamkus, born Voldemaras Adamkavi?ius",Valdas,Adamkus,Roman Catholic,1222,1200,
368,134,LIT,Lithuania,2003,2,26,2004,4,5,President,Rolandas Paksas,Rolandas,Paksas,Roman Catholic,1222,1200,
368,134,LIT,Lithuania,2004,4,6,2004,7,11,Acting President,Art?ras Paulauskas,Art?ras,Paulauskas,,,,
368,134,LIT,Lithuania,2004,7,12,2009,7,11,President,"Valdas Adamkus, born Voldemaras Adamkavi?ius",Valdas,Adamkus,Roman Catholic,1222,1200,
368,134,LIT,Lithuania,2009,7,12,2019,7,11,President,Dalia Grybauskait?,Dalia,Grybauskait?,Roman Catholic,1222,1200,
368,134,LIT,Lithuania,2019,7,12,,,,President,Gitanas Naus?da,Gitanas,Naus?da,,,,
369,231,UKR,Ukraine,1991,12,5,1994,7,18,President,Leonid Makarovych Kravchuk,Leonid,Kravchuk,Ukrainian Orthodox,1620,1600,
369,231,UKR,Ukraine,1994,7,19,2005,1,22,President,Leonid Danylovych Kuchma,Leonid,Kuchma,Ukrainian Orthodox,1620,1600,
369,231,UKR,Ukraine,2005,1,23,2010,2,24,President,Viktor Andriyovych Yushchenko,Viktor,Yushchenko,Ukrainian Orthodox,1620,1600,
369,231,UKR,Ukraine,2010,2,25,2014,2,22,President,Viktor Fedorovych Yanukovych,Viktor,Yanukovych,Ukrainian Orthodox,1620,1600,
369,231,UKR,Ukraine,2014,2,23,2014,6,6,Interim President,Oleksandr Valentynovych Turchynov,Oleksandr,Turchynov,Baptist,1440,1300,minister
369,231,UKR,Ukraine,2014,6,7,2019,5,19,President,Petro Oleksiyovych Poroshenko,Petro,Poroshenko,Ukrainian Orthodox,1620,1600,
369,231,UKR,Ukraine,2019,5,20,,,,President,Volodymyr Oleksandrovych Zelensky,Volodymyr,Zelensky,Jewish,2100,2100,
370,21,BLR,Belarus,1991,9,28,1994,1,25,Chairman of the Supreme Soviet,Stanislau Stanislavavich Shushkevich,Stanislau,Shushkevich,Roman Catholic,1222,1200,
370,21,BLR,Belarus,1994,1,26,1994,1,27,Acting Chairman of the Supreme Soviet,Vyacheslav Nikolayevich Kuznetsov,Vyacheslav,Kuznetsov,,,,Communist
370,21,BLR,Belarus,1994,1,28,1994,7,19,Chairman of the Supreme Soviet,Myechyslaw Ivanavich Hryb,Myechyslaw,Hryb,,,,Communist
370,21,BLR,Belarus,1994,7,20,,,,President,Alexander Grigoryevich Lukashenko,Alexander,Lukashenko,Belarussian Orthodox,1620,1600,
371,12,ARM,Armenia,1991,10,16,1991,11,10,Chairman of the Supreme Council,Levon Ter-Petrossian,Levon,Ter-Petrossian,Armenian Apostolic,1610,1600,
371,12,ARM,Armenia,1991,11,11,1998,2,3,President,Levon Ter-Petrossian,Levon,Ter-Petrossian,Armenian Apostolic,1610,1600,
371,12,ARM,Armenia,1998,2,4,2008,4,8,President,Robert Sedraki Kocharyan,Robert,Kocharyan,Armenian Apostolic,1610,1600,
371,12,ARM,Armenia,2008,4,9,2018,4,8,President,Serzh Azati Sargsyan,Serzh,Sargsyan,Armenian Apostolic,1610,1600,
371,12,ARM,Armenia,2018,4,9,,,,President,Armen Sarkissian,Armen,Sarkissian,Armenian Apostolic,1610,1600,
372,89,GRG,Georgia,1991,4,14,1992,1,5,President,Zviad Gamsakhurdia,Zviad,Gamsakhurdia,Georgian Orthodox,1620,1600,from country expert
372,89,GRG,Georgia,1992,1,6,1992,3,9,leader of Military Council,Jaba (or Dzhaba) Ioseliani,Jaba,Ioseliani,Georgian Orthodox,1620,1600,from country expert
372,89,GRG,Georgia,1992,3,10,1992,11,5,Chairman of the State Council,Eduard Shevardnadze,Eduard,Shevardnadze,Georgian Orthodox,1620,1600,
372,89,GRG,Georgia,1992,11,6,1995,11,22,Chairman of Parliament,Eduard Shevardnadze,Eduard,Shevardnadze,Georgian Orthodox,1620,1600,
372,89,GRG,Georgia,1995,11,23,2003,11,22,President,Eduard Shevardnadze,Eduard,Shevardnadze,Georgian Orthodox,1620,1600,
372,89,GRG,Georgia,2003,11,23,2004,1,24,Acting President,Nino Burjanadze,Nino,Burjanadze,Georgian Orthodox,1620,1600,
372,89,GRG,Georgia,2004,1,25,2007,11,24,President,Mikheil Saakashvili,Mikheil,Saakashvili,Georgian Orthodox,1620,1600,
372,89,GRG,Georgia,2007,11,25,2008,1,19,Acting President,Nino Burjanadze,Nino,Burjanadze,Georgian Orthodox,1620,1600,
372,89,GRG,Georgia,2008,1,20,2013,11,16,President,Mikheil Saakashvili,Mikheil,Saakashvili,Georgian Orthodox,1620,1600,
372,89,GRG,Georgia,2013,11,17,2018,12,15,President,Giorgi Margvelashvili,Giorgi,Margvelashvili,Georgian Orthodox,1620,1600,
372,89,GRG,Georgia,2018,12,16,,,,President,Salome Zourabichvili,Salome,Zourabichvili,,,,
373,16,AZE,Azerbaijan,1991,8,30,1992,3,5,President,Ayaz Niyazi o?lu Mï¿½tallibov,Ayaz,Mï¿½tallibov,Shia Muslim (Twelver),3210,3200,
373,16,AZE,Azerbaijan,1992,3,6,1992,5,13,Acting President,Yaqub Javad o?lu Mammadov,Yaqub,Mammadov,Shia Muslim,3200,3200,
373,16,AZE,Azerbaijan,1992,5,14,1992,5,18,President,Ayaz Niyazi o?lu Mï¿½tallibov,Ayaz,Mï¿½tallibov,Shia Muslim (Twelver),3210,3200,
373,16,AZE,Azerbaijan,1992,5,19,1992,6,15,Acting President,?sa Yunis o?lu Qambar (or Gambar),?sa,Qambar,Shia Muslim (Twelver),3210,3200,
373,16,AZE,Azerbaijan,1992,6,16,1993,6,17,President,"Abï¿½lfaz Elï¿½ibay, born Abï¿½lfaz Qadirqulu o?lu Aliyev",Abï¿½lfaz,Elï¿½ibay,Shia Muslim,3200,3200,dates from Archigos
373,16,AZE,Azerbaijan,1993,6,18,1993,6,23,President,vacant,,,,,,
373,16,AZE,Azerbaijan,1993,6,24,2003,10,30,President,Heydar Alirza o?lu Aliyev,Heydar,Aliyev,Shia Muslim,3200,3200,
373,16,AZE,Azerbaijan,2003,10,31,,,,President,?lham Heydar o?lu Aliyev,?lham,Aliyev,Shia Muslim,3200,3200,
375,82,FIN,Finland,1944,8,4,1946,3,3,President,Carl Gustaf Emil Mannerheim,Carl,Mannerheim,Lutheran,1410,1300,
375,82,FIN,Finland,1946,3,4,1946,3,10,Acting President,"Juho Kusti Paasikivi, born Johan Gustaf Hellsten",Juho,Paasikivi,Lutheran,1410,1300,
375,82,FIN,Finland,1946,3,11,1956,2,29,President,"Juho Kusti Paasikivi, born Johan Gustaf Hellsten",Juho,Paasikivi,Lutheran,1410,1300,
375,82,FIN,Finland,1956,3,1,1981,9,10,President,Urho Kaleva Kekkonen,Urho,Kekkonen,Lutheran,1410,1300,
375,82,FIN,Finland,1981,9,11,1982,1,26,Acting President,Mauno Henrik Koivisto,Mauno,Koivisto,Lutheran,1410,1300,
375,82,FIN,Finland,1982,1,27,1994,2,28,President,Mauno Henrik Koivisto,Mauno,Koivisto,Lutheran,1410,1300,
375,82,FIN,Finland,1994,3,1,2000,2,28,President,Martti Oiva Kalevi Ahtisaari,Martti,Ahtisaari,Lutheran,1410,1300,
375,82,FIN,Finland,2000,3,1,2012,2,29,President,Tarja Kaarina Halonen,Tarja,Halonen,Lutheran,1410,1300,
375,82,FIN,Finland,2012,3,1,,,,President,Sauli Vï¿½inï¿½mï¿½ Niinistï¿½,Sauli,Niinistï¿½,Lutheran,1410,1300,
380,215,SWD,Sweden,1936,9,28,1946,10,5,Prime Minister,Per Albin Hansson,Per,Hansson,Lutheran,1410,1300,
380,215,SWD,Sweden,1946,10,6,1946,10,10,Acting Prime Minister,Bo ï¿½sten Undï¿½n,ï¿½sten,Undï¿½n,Protestant (NFI),1400,1300,from country expert
380,215,SWD,Sweden,1946,10,11,1969,10,13,Prime Minister,Tage Fritiof Erlander,Tage,Erlander,Lutheran,1410,1300,
380,215,SWD,Sweden,1969,10,14,1976,10,7,Prime Minister,Sven Olof Joachim Palme,Olof,Palme,Atheist,9100,9100,
380,215,SWD,Sweden,1976,10,8,1978,10,17,Prime Minister,Thorbjï¿½rn Fï¿½lldin,Thorbjï¿½rn,Fï¿½lldin,Lutheran,1410,1300,likely; Lutheran funeral
380,215,SWD,Sweden,1978,10,18,1979,10,11,Prime Minister,"Stig Kjell Olof ""Ola"" Ullsten",Ola,Ullsten,Protestant (NFI),1400,1300,from country expert
380,215,SWD,Sweden,1979,10,12,1982,10,7,Prime Minister,Thorbjï¿½rn Fï¿½lldin,Thorbjï¿½rn,Fï¿½lldin,Lutheran,1410,1300,likely; Lutheran funeral
380,215,SWD,Sweden,1982,10,8,1986,2,27,Prime Minister,Sven Olof Joachim Palme,Olof,Palme,Atheist,9100,9100,
380,215,SWD,Sweden,1986,2,28,1986,3,12,Acting Prime Minister,Gï¿½sta Ingvar Carlsson,Ingvar,Carlsson,Lutheran,1410,1300,
380,215,SWD,Sweden,1986,3,13,1991,10,3,Prime Minister,Gï¿½sta Ingvar Carlsson,Ingvar,Carlsson,Lutheran,1410,1300,
380,215,SWD,Sweden,1991,10,4,1994,10,6,Prime Minister,Nils Daniel Carl Bildt,Carl,Bildt,Agnostic,9001,9000,
380,215,SWD,Sweden,1994,10,7,1996,3,21,Prime Minister,Gï¿½sta Ingvar Carlsson,Ingvar,Carlsson,Lutheran,1410,1300,
380,215,SWD,Sweden,1996,3,22,2006,10,5,Prime Minister,Hans Gï¿½ran Persson,Gï¿½ran,Persson,Lutheran,1410,1300,
380,215,SWD,Sweden,2006,10,6,2014,10,2,Prime Minister,John Fredrik Reinfeldt,Fredrik,Reinfeldt,Agnostic,9001,9000,
380,215,SWD,Sweden,2014,10,3,,,,Prime Minister,Kjell Stefan Lï¿½fven,Stefan,Lï¿½fven,Lutheran,1410,1300,
385,170,NOR,Norway,1945,6,25,1951,11,8,Prime Minister (interim until Oct. 1945),Einar Henry Gerhardsen,Einar,Gerhardsen,Lutheran,1410,1300,
385,170,NOR,Norway,1951,11,9,1955,1,21,Prime Minister,Oscar Fredrik Torp,Oscar,Torp,Protestant (NFI),1400,1300,from 2011 (source no longer available)
385,170,NOR,Norway,1955,1,22,1963,8,27,Prime Minister,Einar Henry Gerhardsen,Einar,Gerhardsen,Lutheran,1410,1300,
385,170,NOR,Norway,1963,8,28,1963,9,24,Prime Minister,John Daniel Fï¿½rstenberg Lyng,John,Lyng,,,,
385,170,NOR,Norway,1963,9,25,1965,10,11,Prime Minister,Einar Henry Gerhardsen,Einar,Gerhardsen,Lutheran,1410,1300,
385,170,NOR,Norway,1965,10,12,1971,3,16,Prime Minister,Per Borten,Per,Borten,Lutheran,1410,1300,
385,170,NOR,Norway,1971,3,17,1972,10,16,Prime Minister,Trygve Martin Bratteli,Trygve,Bratteli,,,,
385,170,NOR,Norway,1972,10,17,1973,10,11,Prime Minister,Lars Korvald,Lars,Korvald,Lutheran,1410,1300,
385,170,NOR,Norway,1973,10,12,1976,1,11,Prime Minister,Trygve Martin Bratteli,Trygve,Bratteli,,,,
385,170,NOR,Norway,1976,1,12,1981,2,3,Prime Minister,Odvar Nordli,Odvar,Nordli,,,,
385,170,NOR,Norway,1981,2,4,1981,10,13,Prime Minister,Gro Harlem Brundtland,Gro,Brundtland,,,,
385,170,NOR,Norway,1981,10,14,1986,5,8,Prime Minister,Kï¿½re Isaachsen Willoch,Kï¿½re,Willoch,,,,
385,170,NOR,Norway,1986,5,9,1989,10,15,Prime Minister,Gro Harlem Brundtland,Gro,Brundtland,,,,
385,170,NOR,Norway,1989,10,16,1990,11,2,Prime Minister,Jan Peder Syse,Jan,Syse,Lutheran,1410,1300,by personal knowledge; coder acquainted with his son
385,170,NOR,Norway,1990,11,3,1996,10,24,Prime Minister,Gro Harlem Brundtland,Gro,Brundtland,,,,
385,170,NOR,Norway,1996,10,25,1997,10,16,Prime Minister,Thorbjï¿½rn Jagland,Thorbjï¿½rn,Jagland,Lutheran,1410,1300,
385,170,NOR,Norway,1997,10,17,1998,8,29,Prime Minister,Kjell Magne Bondevik,Kjell Magne,Bondevik,Lutheran,1410,1300,pastor
385,170,NOR,Norway,1998,8,30,1998,9,22,Acting Prime Minister,Anne Enger Lahnstein,Anne,Lahnstein,,,,
385,170,NOR,Norway,1998,9,23,2000,3,2,Prime Minister,Kjell Magne Bondevik,Kjell Magne,Bondevik,Lutheran,1410,1300,pastor
385,170,NOR,Norway,2000,3,3,2000,3,16,Acting Prime Minister,unknown,,,,,,
385,170,NOR,Norway,2000,3,17,2001,10,18,Prime Minister,Jens Stoltenberg,Jens,Stoltenberg,Not Religious,9001,9000,
385,170,NOR,Norway,2001,10,19,2005,10,16,Prime Minister,Kjell Magne Bondevik,Kjell Magne,Bondevik,Lutheran,1410,1300,pastor
385,170,NOR,Norway,2005,10,17,2013,10,15,Prime Minister,Jens Stoltenberg,Jens,Stoltenberg,Not Religious,9001,9000,
385,170,NOR,Norway,2013,10,16,,,,Prime Minister,Erna Solberg,Erna,Solberg,Christian (NFI),1000,1000,
390,66,DEN,Denmark,1945,11,7,1947,11,12,Prime Minister,Knud Kristensen,Knud,Kristensen,,,,
390,66,DEN,Denmark,1947,11,13,1950,10,29,Prime Minister,Hans Hedtoft,Hans,Hedtoft,,,,
390,66,DEN,Denmark,1950,10,30,1953,9,29,Prime Minister,Erik Eriksen,Erik,Eriksen,,,,
390,66,DEN,Denmark,1953,9,30,1955,1,28,Prime Minister,Hans Hedtoft,Hans,Hedtoft,,,,
390,66,DEN,Denmark,1955,1,29,1955,1,31,Acting Prime Minister,unknown,,,,,,
390,66,DEN,Denmark,1955,2,1,1960,2,18,Prime Minister,"Hans Christian Svane ""H.C."" Hansen",Hans Christian,Hansen,,,,
390,66,DEN,Denmark,1960,2,19,1960,2,20,Acting Prime Minister,unknown,,,,,,
390,66,DEN,Denmark,1960,2,21,1962,9,2,Prime Minister,Viggo Olfert Fischer Kampmann,Viggo,Kampmann,,,,
390,66,DEN,Denmark,1962,9,3,1968,2,1,Prime Minister,Jens Otto Krag,Jens Otto,Krag,Atheist,9100,9100,
390,66,DEN,Denmark,1968,2,2,1971,10,10,Prime Minister,Hilmar Baunsgaard,Hilmar,Baunsgaard,,,,
390,66,DEN,Denmark,1971,10,11,1972,10,4,Prime Minister,Jens Otto Krag,Jens Otto,Krag,Atheist,9100,9100,
390,66,DEN,Denmark,1972,10,5,1973,12,18,Prime Minister,Anker Jï¿½rgensen,Anker,Jï¿½rgensen,Lutheran,1410,1300,
390,66,DEN,Denmark,1973,12,19,1975,2,12,Prime Minister,Poul Hartling,Poul,Hartling,Lutheran,1410,1300,
390,66,DEN,Denmark,1975,2,13,1982,9,9,Prime Minister,Anker Jï¿½rgensen,Anker,Jï¿½rgensen,Lutheran,1410,1300,
390,66,DEN,Denmark,1982,9,10,1993,1,24,Prime Minister,Poul Holmskov Schlï¿½ter,Poul,Schlï¿½ter,Lutheran,1410,1300,
390,66,DEN,Denmark,1993,1,25,2001,11,26,Prime Minister,Poul Nyrup Rasmussen,Poul,Rasmussen,Lutheran,1410,1300,
390,66,DEN,Denmark,2001,11,27,2009,4,4,Prime Minister,Anders Fogh Rasmussen,Anders,Rasmussen,Lutheran,1410,1300,
390,66,DEN,Denmark,2009,4,5,2011,10,2,Prime Minister,Lars Lï¿½kke Rasmussen,Lars,Rasmussen,Lutheran,1410,1300,
390,66,DEN,Denmark,2011,10,3,2015,6,27,Prime Minister,Helle Thorning-Schmidt,Helle,Thorning-Schmidt,Lutheran,1410,1300,but not practicing
390,66,DEN,Denmark,2015,6,28,2019,6,26,Prime Minister,Lars Lï¿½kke Rasmussen,Lars,Rasmussen,Lutheran,1410,1300,
390,66,DEN,Denmark,2019,6,27,,,,Prime Minister,Mette Frederiksen,Mette,Frederiksen,,,,
395,107,ICE,Iceland,1944,10,21,1947,2,3,Prime Minister,ï¿½lafur Tryggvason Thors,ï¿½lafur,Thors,,,,
395,107,ICE,Iceland,1947,2,4,1949,12,5,Prime Minister,Stefï¿½n Yaldi Jï¿½hann Stefï¿½nsson,Stefï¿½n,Stefï¿½nsson,,,,
395,107,ICE,Iceland,1949,12,6,1950,3,13,Prime Minister,ï¿½lafur Tryggvason Thors,ï¿½lafur,Thors,,,,
395,107,ICE,Iceland,1950,3,14,1953,9,10,Prime Minister,Steingrï¿½mur Steinï¿½ï¿½rsson,Steingrï¿½mur,Steinï¿½ï¿½rsson,,,,
395,107,ICE,Iceland,1953,9,11,1956,7,20,Prime Minister,ï¿½lafur Tryggvason Thors,ï¿½lafur,Thors,,,,
395,107,ICE,Iceland,1956,7,21,1958,12,22,Prime Minister,Hermann Jï¿½nasson,Hermann,Jï¿½nasson,,,,
395,107,ICE,Iceland,1958,12,23,1959,11,19,Prime Minister,Guï¿½mundur Emil Jï¿½nsson,Emil,Jï¿½nsson,,,,
395,107,ICE,Iceland,1959,11,20,1961,9,7,Prime Minister,ï¿½lafur Tryggvason Thors,ï¿½lafur,Thors,,,,
395,107,ICE,Iceland,1961,9,8,1961,12,31,Acting Prime Minister,Bjarni Benediktsson,Bjarni,Benediktsson,,,,
395,107,ICE,Iceland,1962,1,1,1963,11,13,Prime Minister,ï¿½lafur Thors,ï¿½lafur,Thors,,,,
395,107,ICE,Iceland,1963,11,14,1970,7,9,Prime Minister,Bjarni Benediktsson,Bjarni,Benediktsson,,,,
395,107,ICE,Iceland,1970,7,10,1971,7,13,Prime Minister,Jï¿½hann Hafstein,Jï¿½hann,Hafstein,,,,
395,107,ICE,Iceland,1971,7,14,1974,8,27,Prime Minister,ï¿½lafur Jï¿½hannesson,ï¿½lafur,Jï¿½hannesson,,,,
395,107,ICE,Iceland,1974,8,28,1978,8,31,Prime Minister,Geir Hallgrï¿½msson,Geir,Hallgrï¿½msson,,,,
395,107,ICE,Iceland,1978,9,1,1979,10,14,Prime Minister,ï¿½lafur Jï¿½hannesson,ï¿½lafur,Jï¿½hannesson,,,,
395,107,ICE,Iceland,1979,10,15,1980,2,7,Prime Minister,Benedikt Sigurï¿½sson Grï¿½ndal,Benedikt,Grï¿½ndal,,,,
395,107,ICE,Iceland,1980,2,8,1983,5,25,Prime Minister,Gunnar Thoroddsen,Gunnar,Thoroddsen,,,,
395,107,ICE,Iceland,1983,5,26,1987,7,7,Prime Minister,Steingrï¿½mur Hermannsson,Steingrï¿½mur,Hermannsson,,,,
395,107,ICE,Iceland,1987,7,8,1988,9,27,Prime Minister,ï¿½orsteinn Pï¿½lsson,ï¿½orsteinn,Pï¿½lsson,,,,
395,107,ICE,Iceland,1988,9,28,1991,4,29,Prime Minister,Steingrï¿½mur Hermannsson,Steingrï¿½mur,Hermannsson,,,,
395,107,ICE,Iceland,1991,4,30,2004,9,14,Prime Minister,Davï¿½ï¿½ Oddsson,Davï¿½ï¿½,Oddsson,,,,
395,107,ICE,Iceland,2004,9,15,2006,6,14,Prime Minister,Halldï¿½r ï¿½sgrï¿½msson,Halldï¿½r,ï¿½sgrï¿½msson,Lutheran,1410,1300,
395,107,ICE,Iceland,2006,6,15,2009,1,31,Prime Minister,Geir Hilmar Haarde,Geir,Haarde,Lutheran,1410,1300,
395,107,ICE,Iceland,2009,2,1,2013,3,22,Prime Minister,Jï¿½hanna Sigurï¿½ardï¿½ttir,Jï¿½hanna,Sigurï¿½ardï¿½ttir,,,,
395,107,ICE,Iceland,2013,3,23,2016,4,6,Prime Minister,Sigmundur Davï¿½ï¿½ Gunnlaugsson,Sigmundur,Gunnlaugsson,,,,
395,107,ICE,Iceland,2016,4,7,2017,1,10,Prime Minister,Sigurï¿½ur Ingi Jï¿½hannsson,Sigurï¿½ur,Jï¿½hannsson,,,,
395,107,ICE,Iceland,2017,1,11,2017,11,29,Prime Minister,Bjarni Benediktsson,Bjarni,Benediktsson,,,,
395,107,ICE,Iceland,2017,11,30,,,,Prime Minister,Katrï¿½n Jakobsdï¿½ttir,Katrï¿½n,Jakobsdï¿½ttir,,,,on left
402,42,CAP,Cape Verde,1975,7,8,1991,4,3,Prime Minister,Pedro Verona Rodrigues Pires,Pedro,Pires,,,,
402,42,CAP,Cape Verde,1991,4,4,2000,7,28,Prime Minister,Carlos Alberto Wahnon de Carvalho Veiga,Carlos,Veiga,,,,
402,42,CAP,Cape Verde,2000,7,29,2000,10,4,Acting Prime Minister,Gualberto do Rosï¿½rio,Gualberto,do Rosï¿½rio,,,,
402,42,CAP,Cape Verde,2000,10,5,2001,1,31,Prime Minister,Gualberto do Rosï¿½rio,Gualberto,do Rosï¿½rio,,,,
402,42,CAP,Cape Verde,2001,2,1,2016,4,21,Prime Minister,Josï¿½ Maria Pereira Neves,Josï¿½ Maria,Neves,,,,
402,42,CAP,Cape Verde,2016,4,22,,,,Prime Minister,Josï¿½ Ulisses de Pina Correia e Silva,Ulisses,Correia e Silva,Roman Catholic,1222,1200,
403,195,STP,Sao Tome and Principe,1975,7,12,1991,3,3,President,Manuel Pinto da Costa,Manuel,Pinto da Costa,,,,
403,195,STP,Sao Tome and Principe,1991,3,4,1991,4,2,Acting President,Leonel Mï¿½rio d'Alva,Leonel,d'Alva,,,,
403,195,STP,Sao Tome and Principe,1991,4,3,1995,8,14,President,Miguel dos Anjos da Cunha Lisboa Trovoada,Miguel,Trovoada,,,,
403,195,STP,Sao Tome and Principe,1995,8,15,1995,8,20,President,Manuel Quintas de Almeida,Manuel,Almeida,Roman Catholic,1222,1200,
403,195,STP,Sao Tome and Principe,1995,8,21,2001,9,2,President,Miguel dos Anjos da Cunha Lisboa Trovoada,Miguel,Trovoada,,,,
403,195,STP,Sao Tome and Principe,2001,9,3,2003,7,15,President,Fradique Bandeira Melo de Menezes,Fradique,Menezes,,,,
